"","Dependent..TAPND_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...195..Missing...69..Log.likelihood....27.13..AIC...78.3..R.squared...0.077..Adjusted.R.squared...0.027....row.names...c.NA.."
"5","NI","[51.4,49420.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.072)","0.00 (0.00 to 0.00, p=0.036)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"4","NE","[86.9,16685.5]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.824)","-0.00 (-0.00 to 0.00, p=0.169)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"3","IMS_BS","[0.0,87.1]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.159)","-0.00 (-0.01 to 0.00, p=0.091)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"7","PD","[2.2,1079.1]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.987)","-0.00 (-0.00 to 0.00, p=0.823)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"1","GDPPC","[164.1,69701.1]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.972)","0.00 (-0.00 to 0.00, p=0.855)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"2","HDI","[0.2,0.9]","Mean (sd)","0.1 (0.3)","-0.02 (-0.25 to 0.21, p=0.867)","0.06 (-0.72 to 0.83, p=0.881)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"9","WS","[0.2,1847.2]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.526)","0.00 (-0.00 to 0.00, p=0.469)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"10","WUE","[0.2,319.7]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.249)","-0.00 (-0.00 to 0.00, p=0.244)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"6","NRI","[52.0,3234.8]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.640)","-0.00 (-0.00 to 0.00, p=0.969)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
"8","TPASDW","[21.3,100.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.695)","0.00 (-0.00 to 0.01, p=0.520)","Number in dataframe = 264, Number in model = 195, Missing = 69, Log-likelihood = -27.13, AIC = 78.3, R-squared = 0.077, Adjusted R-squared = 0.027"
