"","Dependent..WUE_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...239..Missing...25..Log.likelihood....95.55..AIC...215.1..R.squared...0.13..Adjusted.R.squared...0.095....row.names...c.NA.."
"5","NI","[51.4,49420.0]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.284)","0.00 (-0.00 to 0.00, p=0.566)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"4","NE","[86.9,16685.5]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.175)","-0.00 (-0.00 to -0.00, p=0.048)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"3","IMS_BS","[0.0,87.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to 0.00, p=0.069)","-0.00 (-0.01 to 0.00, p=0.497)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"7","PD","[2.2,1079.1]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.226)","-0.00 (-0.00 to 0.00, p=0.409)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"1","GDPPC","[164.1,69701.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to -0.00, p=0.015)","-0.00 (-0.00 to 0.00, p=0.152)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"2","HDI","[0.2,0.9]","Mean (sd)","0.2 (0.4)","-0.28 (-0.60 to 0.05, p=0.092)","-0.22 (-1.06 to 0.62, p=0.602)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"10","WS","[0.2,1847.2]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.056)","-0.00 (-0.00 to 0.00, p=0.688)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"6","NRI","[52.0,3234.8]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.00, p=0.022)","0.00 (-0.00 to 0.00, p=0.554)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"9","TPASDW","[21.3,100.0]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.960)","0.01 (-0.00 to 0.01, p=0.088)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
"8","TAPND","[0.0,9359.5]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.00, p=0.001)","0.00 (0.00 to 0.00, p<0.001)","Number in dataframe = 264, Number in model = 239, Missing = 25, Log-likelihood = -95.55, AIC = 215.1, R-squared = 0.13, Adjusted R-squared = 0.095"
