"","Countries","Year","Region","DS","OD","NI","NE","IMS_BS","PD","GDPPC","WSL","TPASDW","HDI","NRI","WS","TAPND","WUE",""
"177",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"1",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2
"1",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,3
"1",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,4
"1",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2
"2",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4
"1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3
"",0,0,0,0,0,0,0,0,0,0,0,1,6,6,19,27,64,123
